,num_id,id,name,category,orderable,sell_value,sell_currency,buy_value,buy_currency,sources,customizable,recipe,recipe_id,games_id,id_full,image_url
0,12,3d-glasses,3D Glasses,Accessories,,122.0,bells,490.0,bells,,,,,nh,item-3d-glasses,https://villagerdb.com/images/items/full/3d-glasses.b8e1b5a.png
1,14,a-tee,A Tee,Tops,,140.0,bells,560.0,bells,,,,,nh,item-a-tee,https://villagerdb.com/images/items/full/a-tee.a1af443.png
2,17,abstract-wall,Abstract Wall,Wallpaper,True,390.0,bells,1560.0,bells,Nook's Cranny,,,,nh,,
3,19,academy-uniform,Academy Uniform,Dresses,,520.0,bells,2080.0,bells,,,,,nh,item-academy-uniform,https://villagerdb.com/images/items/full/academy-uniform.4475eb5.png
4,20,acanthostega,Acanthostega,Fossils,False,2000.0,bells,,,Underground (dig spot),,,,nh,item-acanthostega,https://villagerdb.com/images/items/thumb/acanthostega.0611938.png
5,21,accessories-stand,Accessories Stand,Furniture,True,375.0,bells,1500.0,bells,Nook's Cranny,False,,,nh,item-accessories-stand,https://villagerdb.com/images/items/thumb/accessories-stand.7707e11.png
6,23,acid-washed-jacket,Acid-washed Jacket,Tops,True,420.0,bells,1680.0,bells,Able Sisters,,,,nh,item-acid-washed-jacket,https://villagerdb.com/images/items/full/acid-washed-jacket.4cb3530.png
7,24,acid-washed-jeans,Acid-washed Jeans,Bottoms,True,330.0,bells,1320.0,bells,Able Sisters,,,,nh,item-acid-washed-jeans,https://villagerdb.com/images/items/full/acid-washed-jeans.b25de9d.png
8,26,acnh-nintendo-switch,Acnh Nintendo Switch,Furniture,True,8990.0,bells,35960.0,bells,Receive in mail if playing on ACNH Switch,False,,,nh,item-acnh-nintendo-switch,https://villagerdb.com/images/items/thumb/acnh-nintendo-switch.05f3283.png
9,26,acnh-nintendo-switch,Acnh Nintendo Switch,Furniture,True,8990.0,bells,35960.0,bells,Nook Shopping,False,,,nh,item-acnh-nintendo-switch,https://villagerdb.com/images/items/thumb/acnh-nintendo-switch.05f3283.png
10,28,acorn-knit-cap,Acorn Knit Cap,Hats,,220.0,bells,880.0,bells,,,,,nh,item-acorn-knit-cap,https://villagerdb.com/images/items/full/acorn-knit-cap.690efe4.png
